feature,value,frequency
Brand,TAZLYN,2
Brand,FOVERA,2
Brand,AutoBizarre,2
Brand,TVS,2
Brand,Yobbo,2
Brand,GIZGA essentials,2
Brand,WZATCO,2
Brand,CrossBeats,2
Brand,Meyaar,2
Brand,VNJ ACCESSORIES,2
Brand,Prolet,2
Brand,Kratos,2
Brand,LIRAMARK,2
Brand,rts,2
Brand,Fire-Boltt,2
Brand,LEAWALL,2
Brand,SATVIKAYA,2
Brand,Dime Store,2
Brand,Kohler,2
Brand,VEGA,2
Brand,Kit4Curious,2
Brand,acerpure,2
Brand,Tecno,2
Brand,Infinix,2
Brand,Xifo,2
Brand,Mivi,2
Brand,Lenyes,2
Brand,Nu Republic,2
Brand,Schneider,2
Brand,Toreto,2
Brand,FRONTECH,2
Brand,CIRCLE COMPLETE TECHNOLOGY,2
Brand,Pigeon,2
Brand,JIALTO,2
Brand,PANCA,2
Brand,Happi Planet,2
Brand,Gala,2
Brand,Eightiz,2
Brand,KBS,2
Brand,Herrlich Homes,2
Brand,Cartini,2
Brand,Mumma's LIFE,2
Brand,AGARO,2
Brand,VYOOx,2
Brand,WOOD ART STORE,2
Brand,FLYNGO,2
Brand,Konquer TimeS,2
Brand,Dealsure,2
Brand,SARAL HOME EASY LIVING,2
Brand,SANWALSA,2
Brand,The Better Home,2
Brand,LONGWAY,2
Brand,waterscience,2
Brand,EUROWRAP,2
Brand,SWAPKART,2
Brand,Vooki,2
Brand,Cleevo,2
Brand,CELLO,2
Brand,BUILDSKILL,2
Brand,PRADHAN ACCESSORIES,1
Brand,ZURATO,1
Brand,Dazzliq,1
Brand,Mgbmyltm,1
Brand,XFSAFDM,1
Brand,Fianoeir,1
Brand,YUISI,1
Brand,GEOCARTER,1
Brand,Powerkraft,1
Brand,Wisied,1
Brand,Blue Aura,1
Brand,Gifteeng,1
Brand,Contacts,1
Brand,OUPWUA,1
Brand,CRAE,1
Brand,HASTHIP,1
Brand,Billebon,1
Brand,MOKOBARA,1
Brand,Trajectory,1
Brand,Kerok,1
Brand,TOURSUIT,1
Brand,RedChimes,1
Brand,ANNACREATIONS,1
Brand,Glivary,1
Brand,SHEEBA,1
Brand,NIKAVI,1
Brand,AZARIA,1
Brand,Porslin,1
Brand,Vanthra,1
Brand,SUPERSTUD,1
Brand,WaveX,1
Brand,3M,1
Brand,SIAGO,1
Brand,Neodrift,1
Brand,HOORA,1
Brand,AutokraftZ,1
Brand,Tusa,1
Brand,Bergmann,1
Brand,Pure Wiff,1
Brand,Riyenio,1
Brand,Soul & Scents,1
Brand,EVENZA,1
Brand,Bakaziky,1
Brand,CAR MATE,1
Brand,Aromahpure,1
Brand,Ambi Pur,1
Brand,ZOCKRIX,1
Brand,ZIAKO,1
Brand,Oblivion,1
Brand,GHUGHRIYAL,1
Brand,Eliane,1
Brand,OCEANEVO,1
Brand,CLIXORA,1
Brand,COINCE,1
Brand,TheYaYaCafe,1
Brand,PROTEGO,1
Brand,Trivoro,1
Brand,AutoZing,1
Brand,AutoFurnish,1
Brand,Adroitz,1
Brand,FAMEXON,1
Brand,Frido,1
Brand,Sove,1
Brand,Amborzie,1
Brand,Bosch,1
Brand,KADENOVA,1
Brand,MOHILAA,1
Brand,Hari Muni,1
Brand,KADEN,1
Brand,FG Foundation Gift,1
Brand,Motul,1
Brand,GRAND PITSTOP,1
Brand,Animo India,1
Brand,OBEROI'S TRADERS,1
Brand,Solitude,1
Brand,AirCase,1
Brand,Tukzer,1
Brand,HONEY TEMPERED HUB,1
Brand,EPOS,1
Brand,HUMBLE,1
Brand,POPIO,1
Brand,FitSpark,1
Brand,POWERUP,1
Brand,PROODOS,1
Brand,GadgetBite,1
Brand,Wozoyo,1
Brand,GM,1
Brand,STRIFF,1
Brand,VIRTUTRON,1
Brand,DOCOSS,1
Brand,Ceptics,1
Brand,EVALUEMART,1
Brand,MAKTUNE TECHNOLOGIES,1
Brand,Dr Trust,1
Brand,ASTROGHAR,1
Brand,Rocoren,1
Brand,iSTAR,1
Brand,CHENRI,1
Brand,HGNN,1
Brand,Godrej Security Solutions,1
Brand,Electronic Spices,1
Brand,GERQSHO,1
Brand,Electrobot,1
Brand,ApTechDeals,1
Brand,kapimo,1
Brand,JUAREZ,1
Brand,STONIX,1
Brand,Shuttle Art,1
Brand,Cockatoo,1
Brand,VISTAR,1
Brand,Nivia,1
Brand,Elfora,1
Brand,JIO,1
Brand,HMD,1
Brand,Three23,1
Brand,CERLINK,1
Brand,TRIGGR,1
Brand,TKTDBX,1
Brand,EDNITA,1
Brand,LG,1
Brand,Toy Imagine,1
Brand,JAMPOD,1
Brand,Anker,1
Brand,EarFun,1
Brand,FINGERS,1
Brand,Artis,1
Brand,JUST CORSECA,1
Brand,Spigen,1
Brand,BfsTeckt,1
Brand,Ant Esports,1
Brand,Razer,1
Brand,CMF BY NOTHING,1
Brand,SANTUSHTI FASHION,1
Brand,Srhythm,1
Brand,Neumann,1
Brand,JLab,1
Brand,Dan Clark Audio,1
Brand,HIFIMAN,1
Brand,PunnkFunnk,1
Brand,Lapcare,1
Brand,ARTIX,1
Brand,iClever,1
Brand,P47,1
Brand,HyperX,1
Brand,4BT,1
Brand,Denon,1
Brand,Neopticon,1
Brand,Primebook,1
Brand,Tech IT,1
Brand,Alienware,1
Brand,ZUDELLA,1
Brand,Aliston,1
Brand,GO STORE,1
Brand,Satpurush,1
Brand,Ezee Live Life Ezee Way,1
Brand,Homica,1
Brand,HOME SKILL,1
Brand,Btag,1
Brand,Sumeet,1
Brand,HIT,1
Brand,Värde,1
Brand,Beco,1
Brand,Egles,1
Brand,Ajanta,1
Brand,Boniry,1
Brand,Kleenest,1
Brand,Ninja,1
Brand,Tosaa,1
Brand,PADAR,1
Brand,DOCAT,1
Brand,SKYTONE,1
Brand,Cortina,1
Brand,Inalsa,1
Brand,ElastPro,1
Brand,KOLORR,1
Brand,VROKLA,1
Brand,ACTIVA,1
Brand,Rusabl,1
Brand,Origami,1
Brand,BSB HOME,1
Brand,Kleeno,1
Brand,KADIO,1
Brand,SITTELLA,1
Brand,UB Unity Brand,1
Brand,MIKANIX,1
Brand,JAIPUR ACE,1
Brand,Nayasa,1
Brand,HomeCloud,1
Brand,PIXEL HOME DECOR,1
Brand,Voltonix,1
Brand,eCraftIndia,1
Brand,Zollyss,1
Brand,VIRANGNA ENTERPRISE,1
Brand,VEZELA,1
Brand,Furnofy,1
Brand,Senego,1
Brand,VNQ,1
Brand,UrbanBite,1
Brand,Godrej Ezee,1
Brand,Rushwak,1
Brand,ALTON,1
Brand,karomouj,1
Brand,Vasukie,1
Brand,NAALSA,1
Brand,RUCON,1
Brand,Wypall,1
Brand,FreshDcart,1
Brand,Softouch,1
Brand,Herbal Strategi,1
Brand,PREMIER,1
Brand,Cif,1
Brand,CORE CLEAN,1
Brand,THE HONEST HOME COMPANY,1
Brand,Careswipe,1
Brand,Homeor,1
Brand,DarkShri,1
Brand,Fulminare,1
Brand,Ritu,1
Brand,Dr. Fixit,1
Brand,Pestofree,1
Brand,Gesto,1
Brand,Borosil,1
Brand,Kettlekane,1
Brand,DUKAAN,1
Brand,AERYS,1
Brand,KAI,1
Brand,Zulaxy,1
Brand,Koparo,1
Brand,Pidilite,1
Brand,TIARA,1
Brand,Webelkart,1
Brand,Big Buzz,1
CPU Model,Snapdragon,76
CPU Model,Mediatek Dimensity 6300,57
CPU Model,Others,45
CPU Model,MediaTek Helio,26
CPU Model,Mediatek Dimensity 7400,12
CPU Model,Snapdragon 8 Elite,8
CPU Model,Mediatek Dimensity 7300,8
CPU Model,Core i5,8
CPU Model,Ryzen 5,7
CPU Model,G3,6
CPU Model,Ryzen 3,6
CPU Model,Intel Core 3,6
CPU Model,Unknown,5
CPU Model,Intel Core 5,5
CPU Model,Intel Core Ultra 5,5
CPU Model,Exynos 1380 S5E8835,4
CPU Model,Cortex A5,4
CPU Model,Snapdragon X,4
CPU Model,Core i3,4
CPU Model,Intel Core Ultra 9,4
CPU Model,Ryzen 7,4
CPU Model,Snapdragon 8 Series,3
CPU Model,Cortex A7,3
CPU Model,Dual-Core,3
CPU Model,Exynos 1480 S5E8845,3
CPU Model,G4,3
CPU Model,Exynos 2400 S5E9945,3
CPU Model,A Series,3
CPU Model,Exynos 1330 S5E8535,3
CPU Model,Celeron,3
CPU Model,MediaTek Kompanio 500,3
CPU Model,Intel Core Ultra 7,3
CPU Model,Exynos 1580 S5E8855,2
CPU Model,Core 2 Duo T7250,2
CPU Model,Mediatek Dimensity 900,2
CPU Model,Cortex,2
CPU Model,5X86,2
CPU Model,Core 2 Duo T8300,2
CPU Model,Google Tensor G4,2
CPU Model,MediaTek MT8125,2
CPU Model,Athlon,2
CPU Model,Core i7,2
CPU Model,AMD Ryzen 7,2
CPU Model,Snapdragon 8 Gen3,1
CPU Model,Mediatek Helio G99,1
CPU Model,A-Series Eight-Core A10-5700,1
CPU Model,MediaTek Kompanio 800T,1
CPU Model,Pentium 4,1
CPU Model,UltraSPARC I,1
CPU Model,6X86,1
CPU Model,V25,1
CPU Model,Google Tensor,1
CPU Model,Mediatek Dimensity 9000,1
CPU Model,Snapdragon 7 Gen3,1
CPU Model,Mobile CPU,1
CPU Model,Google Tensor G3,1
CPU Model,Quad-Core,1
CPU Model,6X86MX,1
CPU Model,ARMv7,1
CPU Model,Mediatek Dimensity 9400,1
CPU Model,A4-5000,1
CPU Model,Celeron N4020,1
CPU Model,Intel N50,1
CPU Model,Apple A18 Pro,1
CPU Model,Core i7 Family,1
CPU Model,Amd Ryzen 3 7320U,1
CPU Model,Intel Core 7,1
CPU Model,Ryzen AI,1
CPU Model,Core i5 Family,1
CPU Model,Pentium,1
CPU Model,Core i9,1
CPU Speed,2.4 GHz,84
CPU Speed,2 GHz,27
CPU Speed,2.2 GHz,19
CPU Speed,2.6 GHz,16
CPU Speed,1.8 GHz,13
CPU Speed,2.5 GHz,13
CPU Speed,2.3 GHz,12
CPU Speed,3.2 GHz,11
CPU Speed,2.7 GHz,10
CPU Speed,3.4 GHz,7
CPU Speed,3.8 GHz,6
CPU Speed,2.75 GHz,5
CPU Speed,2.8 GHz,5
CPU Speed,2.9 GHz,4
CPU Speed,4.47 GHz,4
CPU Speed,1.6 GHz,3
CPU Speed,0.1 GHz,3
CPU Speed,4.74 GHz,3
CPU Speed,"2, 2.4 GHz",3
CPU Speed,3.35 GHz,3
CPU Speed,1 GHz,3
CPU Speed,"8.0, 90.0 Hz",2
CPU Speed,24 GHz,2
CPU Speed,2500 MHz,2
CPU Speed,1.2 MHz,2
CPU Speed,2.05 GHz,2
CPU Speed,"144.0, 8.0 Hz",2
CPU Speed,3.1 GHz,2
CPU Speed,1.4 GHz,2
CPU Speed,512 MHz,1
CPU Speed,"2.0, 2.4 GHz",1
CPU Speed,3.39 GHz,1
CPU Speed,3.25 GHz,1
CPU Speed,0.1 MHz,1
CPU Speed,0.21 GHz,1
CPU Speed,1.5 MHz,1
CPU Speed,"2.0, 2.2 GHz",1
CPU Speed,"1.6, 1.8 GHz",1
CPU Speed,"2.0, 2.5 GHz",1
CPU Speed,260 MHz,1
CPU Speed,4.2 GHz,1
CPU Speed,"1.95, 2.4 GHz",1
CPU Speed,1.8 MHz,1
CPU Speed,4.19 GHz,1
CPU Speed,"2, 2.5 GHz",1
CPU Speed,"1.8, 2.2 GHz",1
CPU Speed,"1.8, 3.05 GHz",1
CPU Speed,2.63 GHz,1
CPU Speed,3.21 GHz,1
CPU Speed,3 GHz,1
CPU Speed,"2.6, 3.1 GHz",1
CPU Speed,4.32 GHz,1
CPU Speed,3.36 GHz,1
CPU Speed,4.6 GHz,1
CPU Speed,4.61 GHz,1
CPU Speed,3630 MHz,1
CPU Speed,5.4 GHz,1
Closure Type,Zipper,3
Closure Type,Buckle,3
Closure Type,Tight Closure,2
Closure Type,Drawstring,2
Closure Type,Hook,2
Closure Type,Thick Drawstring,1
Closure Type,Snap Button,1
Closure Type,Lace-Up,1
Closure Type,Foldover Clasp,1
Closure Type,Tang Buckle,1
Closure type,Lace-Up,196
Closure type,Pull-On,34
Closure type,Button,25
Closure type,Drawstring,20
Closure type,Zipper,8
Closure type,Buckle,4
Closure type,Pull On,3
Closure type,Snap,2
Closure type,Elastic Closure,2
Closure type,Button & zipper,2
Closure type,Hook & Loop,2
Closure type,Elastic Waist,1
Closure type,Elastic,1
Closure type,Hook and Loop,1
Closure type,Hook and Bar,1
Closure type,Slip-On,1
Closure type,Slip On,1
Colour,Black,159
Colour,Silver,49
Colour,White,35
Colour,Grey,29
Colour,Blue,27
Colour,Multicolour,22
Colour,Multicolor,16
Colour,black,13
Colour,Green,11
Colour,Red,10
Colour,Transparent,10
Colour,BLACK,9
Colour,Pink,9
Colour,Beige,8
Colour,Brown,8
Colour,Color May Vary,7
Colour,Gray,6
Colour,Pure Silver,6
Colour,Multi,5
Colour,white,5
Colour,Mist Grey,4
Colour,Purple,4
Colour,silver,4
Colour,Carbon Black,4
Colour,Yellow,3
Colour,MULTICOLOR,3
Colour,Jet Black,3
Colour,Black Sabre,3
Colour,Active Black,3
Colour,Dark Blue,3
Colour,Cool Silver,3
Colour,grey,3
Colour,Orange,3
Colour,Natural Brown,2
Colour,yellow,2
Colour,Clear,2
Colour,Red & Black,2
Colour,Multi Color,2
Colour,1200 ML,2
Colour,Grey & Silver,2
Colour,White Sabre,2
Colour,Bold Blue,2
Colour,Ash Grey,2
Colour,Natural Silver,2
Colour,Luna Grey,2
Colour,Mica Silver,2
Colour,Turbo Silver,2
Colour,Modern gray,2
Colour,Shadow Black,2
Colour,Eclipse Black,2
Colour,Iron Grey,2
Colour,Assorted,2
Colour,Steel,2
Colour,WHITE,2
Colour,Teal,2
Colour,Multi Colour,2
Colour,"Yellow, Brown, And Green",1
Colour,"Pink, Green",1
Colour,Honey Bee,1
Colour,"Yellow, Blue, White",1
Colour,"Yellow, Red, Green, White",1
Colour,#2,1
Colour,Silver+Color,1
Colour,Golden,1
Colour,Yellow Girl,1
Colour,Red And Black,1
Colour,Gold - Pack of 1,1
Colour,K pop Rumi,1
Colour,Dark Grey,1
Colour,Cloud Forest,1
Colour,Black & White,1
Colour,Grey & Pink,1
Colour,Gold,1
Colour,Black Handle Cream Threads,1
Colour,multi,1
Colour,Royal Blue,1
Colour,Grey Pack of 4 340 gsm,1
Colour,Aqua Blue / Grey,1
Colour,Blue 340 GSM,1
Colour,orange,1
Colour,Camouflage,1
Colour,Metal Black Silicone,1
Colour,Black Silicone,1
Colour,Metal Silicone Brown,1
Colour,White & Black Pack Of 2,1
Colour,Wine Red,1
Colour,"transparent, beige",1
Colour,Car Trunk Organizer 8Bag,1
Colour,Black with Silver Stitch,1
Colour,Full Black,1
Colour,Medium,1
Colour,BLACK/GREY,1
Colour,Black dark,1
Colour,Black (Pack of 1),1
Colour,Black (Pack of 2),1
Colour,Armrest-Cover-Black-1,1
Colour,Black & Silver,1
Colour,Moto Jack,1
Colour,Multi-Colored,1
Colour,"Metallic Grey, 9-in-1",1
Colour,Pure Black,1
Colour,Chosen Grey (Metallic),1
Colour,Stellar Black,1
Colour,black (Zeb-Thunder),1
Colour,Chosen White,1
Colour,Utopian White,1
Colour,Light Pink,1
Colour,Black (+Micro USB Cable),1
Colour,Dark Blue - 20000 mAh,1
Colour,"White, 1 Socket + USB + PD 20W",1
Colour,Dark Black,1
Colour,360 Bike mount,1
Colour,Ice-blue,1
Colour,Yellow-Black,1
Colour,White Summer,1
Colour,Aqua Green,1
Colour,12-Black,1
Colour,Chrome Finish,1
Colour,Brushed steel,1
Colour,Pista,1
Colour,DARK PINK,1
Colour,PINK,1
Colour,Pack of 2,1
Colour,"Silver, Transparent",1
Colour,Silk Green,1
Colour,Prism Violet,1
Colour,Silver Glare,1
Colour,Matteblack,1
Colour,Sage Green,1
Colour,Teal Green (Zeb-Thunder),1
Colour,Bone,1
Colour,Raging Black,1
Colour,Blue Psyche,1
Colour,Bold White,1
Colour,Polar White,1
Colour,P47-BLACK-01,1
Colour,Cosmic Grey,1
Colour,Starry Night,1
Colour,"WH-1000XM5, Black",1
Colour,Ash Black,1
Colour,Grand Green,1
Colour,Calm Beige,1
Colour,Bold Black,1
Colour,Light Green,1
Colour,Electric Black,1
Colour,Pearl Beige,1
Colour,Space Silver,1
Colour,Silver Black,1
Colour,Nickel,1
Colour,Soniq Black,1
Colour,Chosen Taupe,1
Colour,Espresso Bronze,1
Colour,Mauve,1
Colour,Sterling Silver,1
Colour,Black & Blue,1
Colour,Olive Green,1
Colour,Cool Grey,1
Colour,Mauve Haze,1
Colour,Dawn Silver,1
Colour,Volt Black,1
Colour,Oceana Blue,1
Colour,Blue (Zeb-Thunder Pro),1
Colour,Chromatic Blue,1
Colour,White Apple AirPods 4,1
Colour,Obsidian Steel,1
Colour,Light brown,1
Colour,Moonstone,1
Colour,black;blue,1
Colour,"GREY MIST,",1
Colour,Matte Black,1
Colour,Black-Copper Special Edition,1
Colour,Metallic Grey,1
Colour,EQCharge Jet Black,1
Colour,Sunset Apricot,1
Colour,Lavender,1
Colour,Onyx,1
Colour,Asthetic Black,1
Colour,Ink Blue,1
Colour,Charcoal Black,1
Colour,Furious Red,1
Colour,Bubblegum Pink,1
Colour,"Black, Silver",1
Colour,Ice Blue-Airwave,1
Colour,"Gold Tone,",1
Colour,McLaren,1
Colour,Orbit Silver,1
Colour,Black/Grey,1
Colour,Metallic Black,1
Colour,Pure Grey,1
Colour,Arctic Grey-New Model,1
Colour,Citrus,1
Colour,Nouvelle silver,1
Colour,Arctic Grey,1
Colour,Glacier Silver,1
Colour,steel Gray,1
Colour,LUNA GREY,1
Colour,Fabric Blue,1
Colour,Meteor silver aluminum,1
Colour,Steel Gray,1
Colour,Quiet Blue,1
Colour,Cloud Grey,1
Colour,Eclipse Grey,1
Colour,Silver Gray,1
Colour,Storm Grey,1
Colour,color may vary,1
Colour,WALL HOOK,1
Colour,ATC-1200,1
Colour,28-CM-GREY-BRUSH-SILICONE,1
Colour,Large(36x25)cm - RubberSkid,1
Colour,Grey & Orange,1
Colour,Four Colors-12p,1
Colour,TRUE,1
Colour,12 Hooks Storage Rack Black,1
Colour,Rectangle L (36x25)cm,1
Colour,Cranberrry Red,1
Colour,Ivory,1
Colour,Chrome,1
Colour,White & Black,1
Colour,SIlver,1
Colour,2 IN 1-1,1
Colour,Maroon,1
Colour,Light Brown,1
Colour,Smoke Brown,1
Colour,Sliver,1
Colour,CHESTNUT,1
Colour,Blue and White,1
Colour,Green Chakla,1
Colour,GREY,1
Colour,Cream,1
Colour,Plum Purple,1
Colour,Glass Shakers,1
Colour,BA-419,1
Colour,Yellow Blue,1
Colour,"Magenta, Green",1
Colour,Off White,1
Colour,Peacock,1
Colour,Assorted colors,1
Colour,Flower Hook,1
Colour,Grey-Disposable Mesh Cover Roll(Pack of 1),1
Colour,Silver - 2 Slots,1
Colour,350 ML Oil Bottle With Brush,1
Colour,1 Compartment * 1PC,1
Colour,green,1
Colour,Sands,1
Colour,Pink and Purple,1
Colour,Black - 1 Pack,1
Colour,sink side organiser,1
Colour,Set of 3_Clear,1
Colour,Brown 6pcs,1
Colour,Cream V0,1
Colour,TC2-422,1
Colour,Transprarent,1
Colour,Navy Blue,1
Colour,Black Alarm Clock,1
Colour,Hanging Hook,1
Colour,Grey Gold,1
Colour,Gold Plated,1
Colour,Black.,1
Connectivity Technology,Bluetooth,113
Connectivity Technology,"Auxiliary, Bluetooth, USB",13
Connectivity Technology,"Bluetooth, USB",9
Connectivity Technology,Wi-Fi,6
Connectivity Technology,USB,5
Connectivity Technology,"Auxiliary, Bluetooth",4
Connectivity Technology,"Bluetooth, HDMI, USB, Wi-Fi",3
Connectivity Technology,"Bluetooth, USB, Wi-Fi",3
Connectivity Technology,Wireless,3
Connectivity Technology,Auxiliary,3
Connectivity Technology,"Auxiliary, Bluetooth, USB, wireless",3
Connectivity Technology,"Auxiliary, Bluetooth, TF Card, USB",3
Connectivity Technology,"Auxiliary, Bluetooth, HDMI, USB",2
Connectivity Technology,"Auxiliary, Bluetooth, wireless",2
Connectivity Technology,Wired,1
Connectivity Technology,"HDMI, USB, 3.5mm Audio, Bluetooth, WiFi 6",1
Connectivity Technology,"HDMI, USB, AV, AUX, Wi-Fi, Bluetooth",1
Connectivity Technology,"Bluetooth, Cellular",1
Connectivity Technology,4G LTE,1
Connectivity Technology,"App, Bluetooth",1
Connectivity Technology,"Bluetooth, USB, wireless",1
Connectivity Technology,"Bluetooth, wireless",1
Connectivity Technology,"Bluetooth, FM, SD Card, USB",1
Connectivity Technology,"Auxiliary, Bluetooth, TF card, USB",1
Connectivity Technology,"Auxiliary, Bluetooth, Tf Card, USB",1
Connectivity Technology,"Auxiliary, Bluetooth, USB, mSD",1
Connectivity Technology,"AUX, Bluetooth, USB",1
Connectivity Technology,"Auxiliary, Bluetooth, Coaxial, Optical, RCA",1
Connectivity Technology,wireless,1
Connectivity Technology,"Auxiliary, Bluetooth, HDMI",1
Connectivity Technology,"Bluetooth, mSD",1
Connectivity Technology,"Auxiliary, Bluetooth, Wireless",1
Connectivity Technology,"Auxiliary, USB",1
Connectivity Technology,"Auxiliary, Bluetooth, TF Card, TWS",1
Connectivity Technology,"Built-In Wi-Fi with AirPlay, Alexa Multi-Room Music, Chromecast built-in™ and Spotify Connect",1
Connectivity Technology,"Auracast™ Broadcast Audio, Bluetooth 5.4, True Wireless Stereo (TWS)",1
Connectivity Technology,"Auxiliary (3.5mm Jack), Bluetooth 5.4, USB",1
Connectivity Technology,"Bluetooth, Wi-Fi",1
Connectivity Technology,"Auxiliary, Bluetooth, Fm Radio, Tf Card, USB",1
Connectivity Technology,"Auxiliary, Bluetooth, TF card, Type-C, USB",1
Connectivity Technology,"Auxiliary, Bluetooth, SD Card, USB",1
Connectivity Technology,"Bluetooth, TFCARD",1
Fit type,Regular Fit,73
Fit type,Relaxed Fit,17
Fit type,Loose,12
Fit type,Regular,11
Fit type,Oversized Fit,10
Fit type,Slim Fit,8
Fit type,Adjustable,4
Fit type,Relaxed,3
Fit type,Oversized,2
Fit type,Loose Fit,2
Fit type,Stretch,2
Fit type,Boxy,1
Fit type,Straight,1
Fit type,Athletic Fit,1
Fit type,"Mixed(Slim, Regular)",1
Fit type,Flared Fit,1
Heel type,Flat,135
Heel type,No Heel,84
Heel type,Cone Heel,6
Heel type,Platform Heel,4
Heel type,Mid,2
Heel type,Block Heel,1
Heel type,Medium Heel,1
Material,Plastic,65
Material,Stainless Steel,41
Material,Metal,30
Material,Microfiber,25
Material,Rubber,18
Material,Silicone,17
Material,Glass,8
Material,Faux Leather,6
Material,Alloy Steel,6
Material,Acrylonitrile Butadiene Styrene (ABS),6
Material,Cotton Yarn,5
Material,Polypropylene,5
Material,Polyester,5
Material,Leather,5
Material,ABS Plastic,5
Material,Aluminium,4
Material,Cotton,4
Material,Nylon,3
Material,Brass,3
Material,Zinc,3
Material,Vinyl,3
Material,Paper,3
Material,"Resin, Metal, Zinc",2
Material,Synthetic,2
Material,"Plastic, Rubber",2
Material,Metal and Slilicone,2
Material,ABS,2
Material,Fabric,2
Material,Acrylic,2
Material,Carbon Fibre,2
Material,Engineered Wood,2
Material,Cotton Blend,2
Material,Polyvinyl Chloride (PVC),2
Material,Iron,2
Material,Cellulose Sponge,2
Material,Without Filter,2
Material,Ethylene Vinyl Acetate (EVA),2
Material,"Metal Alloy, Crystal, Rhinestone",1
Material,Wool,1
Material,Cotton Thread,1
Material,"Faux Fur, Plush, Metal",1
Material,Polyurethane (PU),1
Material,Alloy Metal,1
Material,PE,1
Material,Non-Woven Fabric,1
Material,Fiber,1
Material,Pearl,1
Material,"Pearl, Rhinestone",1
Material,"microfiber, Nano-Fine Fiber",1
Material,"Microfiber,Polyester,Polyamide",1
Material,"Polyamide, Polyester",1
Material,FOAM,1
Material,Thermoplastic Polyurethane (TPU),1
Material,ABS Plastic and Metal,1
Material,PLASTIC,1
Material,Felt,1
Material,"Abs Plastic, Metal",1
Material,Acrylonitrile Butadiene Styrene,1
Material,Stainless steel material for corrosion resistance & tungsten contacts.,1
Material,PU Leather,1
Material,LETHER,1
Material,PU LEATHER,1
Material,Silicone Rubber,1
Material,abs plastic,1
Material,Luxurious leather 100%,1
Material,"Alloy Steel, Nylon, Rubber, Stainless Steel",1
Material,polyester,1
Material,"high-quality, soft, and breathable materials",1
Material,Thermoplastic Polyurethane,1
Material,Polyethylene Terephthalate,1
Material,Tempered Glass,1
Material,Silk,1
Material,Stainless Steel and Alloy,1
Material,"Aluminium, Metal",1
Material,Aluminum Plastic,1
Material,Abs,1
Material,"Electronic Components, Plastic",1
Material,"Metal,Rubber,Fabric",1
Material,Neoprene,1
Material,Plush fabric,1
Material,"Memory Foam, Fabric",1
Material,Cellulose sponge with cotton mesh,1
Material,"Plastic, Premium Stainless Steel, Rubber",1
