feature,frequency,percentage
Theme,16,0.74
Case Material,16,0.74
Sheet Count,15,0.69
Model,15,0.69
Manufacturer Part Number,14,0.64
Movement,14,0.64
Battery Life,14,0.64
Assembly Required,13,0.6
SpO2 Monitoring,13,0.6
Sports Modes,13,0.6
Display Resolution,13,0.6
Metal type,13,0.6
Gem type,13,0.6
Blade Material,12,0.55
Fill Material,12,0.55
Case thickness,12,0.55
Headphones Jack,12,0.55
Clasp type,12,0.55
Ply Rating,12,0.55
Companion App,12,0.55
Number of Shelves,12,0.55
Case/Strap Material,12,0.55
Surface Recommendation,11,0.51
Number of items,11,0.51
Opening Mechanism,11,0.51
Display resolution,11,0.51
Bottle Type,11,0.51
Case Shape,10,0.46
Touchscreen,10,0.46
Item Volume,10,0.46
Sleep Tracking,10,0.46
Weight Limit,10,0.46
Navigation Control,10,0.46
Stress Monitoring,9,0.41
Item Width,9,0.41
Notifications,9,0.41
Item Height,9,0.41
Battery Cell Composition,9,0.41
Fit Type,9,0.41
Design,9,0.41
Android Compatibility,8,0.37
Portability,8,0.37
Chain type,8,0.37
SOS Button,8,0.37
Rise style,8,0.37
Watch Faces,8,0.37
Wattage,8,0.37
Alarm,8,0.37
Step Tracking,8,0.37
Handle Type,7,0.32
Weather,7,0.32
Dial Pad,7,0.32
Always-On Display,7,0.32
Charging,7,0.32
Special Features,7,0.32
Band Color,6,0.28
Weight,6,0.28
Do Not Disturb,6,0.28
Watch Display Type,6,0.28
Hardware Interface,6,0.28
Model number,6,0.28
Light Source Type,6,0.28
Electric fan design,6,0.28
Exterior Finish,6,0.28
Item part number,6,0.28
Cable Type,6,0.28
iOS Compatibility,6,0.28
Warranty,6,0.28
Voice Assistant,6,0.28
Water Resistance Depth,6,0.28
Embellishment,6,0.28
Department,5,0.23
Watch Movement Type,5,0.23
Band Material,5,0.23
Blade Edge,5,0.23
Blade Length,5,0.23
Product Care Instructions,5,0.23
Case Diameter,5,0.23
Date Display,5,0.23
Crystal,5,0.23
Head Material,5,0.23
Number of Memory Sticks,5,0.23
Voltage,5,0.23
Music Control,5,0.23
Breathing Exercises,5,0.23
Image Stabilisation,5,0.23
Supported File Format,5,0.23
Aspect Ratio,5,0.23
Photo Sensor Technology,5,0.23
Compatible Mountings,5,0.23
Liquid Volume,5,0.23
Strap type,5,0.23
Bulb Base,5,0.23
Lock Type,4,0.18
Chronograph,4,0.18
Item type name,4,0.18
Protection,4,0.18
Space Saving,4,0.18
Travel Use,4,0.18
Storage Use,4,0.18
Shoe Compatibility,4,0.18
Frame Material,4,0.18
Dial Glass Material,4,0.18
Upper Material,4,0.18
Best for,4,0.18
Camera Control,4,0.18
Calculator,4,0.18
Hydration Reminders,4,0.18
Calorie Tracking,4,0.18
Calendar,4,0.18
Shell Type,4,0.18
Toe style,4,0.18
Position,4,0.18
Batteries,4,0.18
Case Size,4,0.18
Timer,4,0.18
Stopwatch,4,0.18
Shaft height,4,0.18
Base Material,4,0.18
Lamp Type,4,0.18
Menstrual/Ovulation Tracking,3,0.14
Sedentary Alerts,3,0.14
Features,3,0.14
Shade Colour,3,0.14
Supported Networks,3,0.14
Is Discontinued By Manufacturer,3,0.14
Batteries Required,3,0.14
DIFFERENT SIZE OPTIONS,3,0.14
SMS,3,0.14
Connectivity,3,0.14
Luminous Hands/Markers,3,0.14
Inner material,3,0.14
Package Dimensions,3,0.14
Number of Pieces,3,0.14
Pushers,3,0.14
SURFACE RECOMMENDATION,3,0.14
Blood Pressure Monitoring,3,0.14
Thread Size,3,0.14
Find Phone,3,0.14
Unit Count,3,0.14
Brand Name,3,0.14
Class Mode,3,0.14
Dial Design,3,0.14
Video Calling,3,0.14
Cellular Technology,3,0.14
24-Hour Display,3,0.14
Number of pockets,3,0.14
Outer Material,3,0.14
NUMBER OF ITEMS,3,0.14
AI Features,3,0.14
Durability,3,0.14
Package Information,3,0.14
Number of Sets,3,0.14
USES,3,0.14
Batteries Included,3,0.14
Indoor/Outdoor Usage,2,0.09
Glass Material,2,0.09
Case Thickness,2,0.09
Grip Type,2,0.09
Orientation,2,0.09
SIM Type,2,0.09
Total USB Ports,2,0.09
Processor,2,0.09
Application,2,0.09
Display,2,0.09
Exterior,2,0.09
Vascular Health Monitoring,2,0.09
Energy Score,2,0.09
Are batteries included?,2,0.09
Battery Type,2,0.09
Installation Type,2,0.09
Material Features,2,0.09
Location Tracking,2,0.09
Storage Capacity,2,0.09
Foldable,2,0.09
Attachment Options,2,0.09
Band width,2,0.09
Readability,2,0.09
Movement Type,2,0.09
Intended Use,2,0.09
Plug Type,2,0.09
Item Hardness,2,0.09
Compatibility,2,0.09
Opening Design,2,0.09
Grit Type,2,0.09
Are Batteries Included,2,0.09
Number of Packs,2,0.09
Network,2,0.09
Incandescent Equivalent Wattage,2,0.09
Bulb Shape Size,2,0.09
Light Type,2,0.09
Number of Handles,2,0.09
Remote Monitoring,2,0.09
Bezel Material,2,0.09
UPC,2,0.09
Parental Controls,2,0.09
Network Service Provider,2,0.09
RAM Memory Installed,2,0.09
Attachment Type,2,0.09
Multi-Function Use,2,0.09
Furniture Finish,2,0.09
Use,2,0.09
Resolution,2,0.09
Hair Type,2,0.09
Safe Zone Alerts,2,0.09
Light fixture form,2,0.09
Suitable For,2,0.09
Contacts,2,0.09
Compass-Inspired Bezel,2,0.09
Standing screen display size,2,0.09
Mounting Hardware,2,0.09
Breathability,2,0.09
Specification Met,2,0.09
Fit,2,0.09
Irregular Heart Rate Monitoring,2,0.09
Gift Ready Packaging,1,0.05
Use for,1,0.05
Pressure Sensitivity,1,0.05
Assorted Hair Accessories,1,0.05
Product Benefits,1,0.05
Ring size,1,0.05
Battery type,1,0.05
Sock Liner,1,0.05
Soft and Durable,1,0.05
Collection,1,0.05
Easy to Wear,1,0.05
Sturdy Grip,1,0.05
Insole,1,0.05
Cute and Stylish,1,0.05
Operating Temperature,1,0.05
GPS Satellites,1,0.05
Sensors,1,0.05
Back Style,1,0.05
Easy Installation,1,0.05
Material Type,1,0.05
Metal,1,0.05
Small,1,0.05
Durable,1,0.05
Support Design,1,0.05
Recommended For,1,0.05
Frame material,1,0.05
Fittings Included,1,0.05
Rust Proof,1,0.05
Operating Voltage,1,0.05
Automation Use,1,0.05
Color / Output,1,0.05
Specific Product Use,1,0.05
Fixed Fit,1,0.05
Operation Mode,1,0.05
Item Shape,1,0.05
Rotating Bezel,1,0.05
GMT / Dual Time,1,0.05
Voyager Dopp Kit,1,0.05
Breathable Design,1,0.05
Adhesive Type,1,0.05
Main Benefit,1,0.05
Toy Type,1,0.05
Sleeve cuff style,1,0.05
Finish,1,0.05
Package Contents,1,0.05
Case Profile,1,0.05
Active Ingredients,1,0.05
OS,1,0.05
Origin,1,0.05
Bracelet Color,1,0.05
Sun protection,1,0.05
Speaker Amplification Type,1,0.05
Refresh Rate,1,0.05
Network Connectivity Technology,1,0.05
Day-Date Display,1,0.05
Crown,1,0.05
Design Details,1,0.05
Clasp Type,1,0.05
Mirror,1,0.05
Imported By,1,0.05
Cushioning,1,0.05
Double-layer Design,1,0.05
Hand Strap,1,0.05
Water-resistant,1,0.05
Model name,1,0.05
Item Diameter,1,0.05
Is Microwaveable,1,0.05
Container Type,1,0.05
Tray Type,1,0.05
Controls Type,1,0.05
Case material type,1,0.05
Timing Accuracy,1,0.05
Item Package Quantity,1,0.05
Cushion,1,0.05
Traction,1,0.05
Liner,1,0.05
Construction,1,0.05
Stability,1,0.05
Bracelet Material,1,0.05
Midsole,1,0.05
Cushioning Technology,1,0.05
Grip,1,0.05
Outsole,1,0.05
Toe Support,1,0.05
Cover Type,1,0.05
Fabric,1,0.05
Filling,1,0.05
Heel Support,1,0.05
Lug Width,1,0.05
Case Finish,1,0.05
Case Color,1,0.05
Dial Features,1,0.05
Dust Resistance,1,0.05
Visibility,1,0.05
Quantity,1,0.05
Organization Use,1,0.05
Case Design,1,0.05
Speed Modes,1,0.05
Battery Operated,1,0.05
Sound Effects,1,0.05
Activity Tracking,1,0.05
Frame Type,1,0.05
Dimensions,1,0.05
Sports Use,1,0.05
Functions,1,0.05
Gift Occasion,1,0.05
Recommended Age,1,0.05
Battery Capacity (mAh),1,0.05
Output Wattage,1,0.05
Output Current,1,0.05
Surge Protection:,1,0.05
No. of Ports,1,0.05
System,1,0.05
Focus,1,0.05
Image Correction,1,0.05
Raise to Wake,1,0.05
Optical Engine,1,0.05
Included in Box,1,0.05
Inner Material,1,0.05
Load Capacity,1,0.05
Set/Single,1,0.05
Frequency (Hz),1,0.05
Band Width,1,0.05
Sport,1,0.05
Projection Size,1,0.05
Cartoon Character,1,0.05
Magic Sponge,1,0.05
car Door Scratch Protector,1,0.05
car mini car dustbin Foldable,1,0.05
Car Trash Can Holder,1,0.05
Back Seat storage Trunk,1,0.05
Scent Duration,1,0.05
Installation,1,0.05
Total Power Outlets,1,0.05
Solar Powered,1,0.05
Area Odor Remover Type,1,0.05
QUANTITY/DIMENSION,1,0.05
Decibel (dB),1,0.05
Scope of Application,1,0.05
"Dual Pairing
No",1,0.05
Socket Type:,1,0.05
Number of Batteries,1,0.05
Aroma Oil,1,0.05
Is Dishwasher Safe,1,0.05
Reflectors,1,0.05
Waterproof Zipper,1,0.05
Back Material Type,1,0.05
Switch Type,1,0.05
Seat Material Type,1,0.05
Material Type Free,1,0.05
Fuel Type,1,0.05
Socks form,1,0.05
Watch Movement,1,0.05
Graphics Card Description,1,0.05
Thread Pitch,1,0.05
Light Control,1,0.05
Lighting,1,0.05
Moving Wings,1,0.05
Design Features,1,0.05
Number Of Discs,1,0.05
Is Electric,1,0.05
"Instacharge
10 min=120 min",1,0.05
"Noise Control
Quad Mic ENC",1,0.05
"Playtime
40 hours",1,0.05
"Buds Finish
Chrome Finish",1,0.05
Buds N1,1,0.05
Compatible Shoe Mount Type,1,0.05
Series,1,0.05
Type-C Cable,1,0.05
Coffee Maker Type,1,0.05
Type-C,1,0.05
Shock Absorption,1,0.05
"Personal Care
Add to your style statement and leave a mark wherever your voyage takes you.",1,0.05
Display Resolution Maximum,1,0.05
Height Adjustable,1,0.05
Rotate Design,1,0.05
Angle Adjustable,1,0.05
Target Species,1,0.05
Bowl Capacity,1,0.05
USB-A,1,0.05
Size L x W x H cm,1,0.05
Additional Uses,1,0.05
Storage Items,1,0.05
Pocket Dimensions,1,0.05
Primary Use,1,0.05
"Handcrafted with Love
Cotton Canvas, Unisex, Dual Compartment with Genuine Leather Pullers",1,0.05
Package,1,0.05
Grit Material,1,0.05
USB Ports:,1,0.05
DIY Watch Faces,1,0.05
Emergency SOS Tech,1,0.05
Smart Dock Design,1,0.05
AMOLED Display,1,0.05
Includes Rechargeable Battery,1,0.05
Device interface - primary,1,0.05
Wireless Type,1,0.05
Battery Power Rating,1,0.05
Emoji Support,1,0.05
Call Notifications,1,0.05
Navigation Service,1,0.05
Navigation,1,0.05
Background Audio Monitoring,1,0.05
Remote Shutdown,1,0.05
Jio SIM Support,1,0.05
Scuff Resistance,1,0.05
Pearl,1,0.05
Multi-colour Available,1,0.05
QUANTITY/DIMENSIONS,1,0.05
Geofencing,1,0.05
Calling,1,0.05
Voice Chat,1,0.05
Color,1,0.05
Description,1,0.05
Sole Material,1,0.05
Bottom style,1,0.05
Band Material Type,1,0.05
10,1,0.05
Cable Length,1,0.05
Greatest Feature,1,0.05
Types of Tyre Pressure,1,0.05
Power Supply,1,0.05
Maximum Range,1,0.05
Lift Type,1,0.05
Number of Buttons,1,0.05
QUANTITY,1,0.05
Battery cell composition,1,0.05
DISPLAY,1,0.05
CASE SIZE,1,0.05
RATINGS,1,0.05
PRICE,1,0.05
DEVICE,1,0.05
Width,1,0.05
Fast Charge (SmartVoltage):,1,0.05
MAX USB Power (Combined):,1,0.05
Plug Type:,1,0.05
Battery Average Life,1,0.05
Display Technology,1,0.05
Depth,1,0.05
Location History,1,0.05
Power,1,0.05
In the Box,1,0.05
BLUETOOTH,1,0.05
CAPACITY,1,0.05
Cordless,1,0.05
BLOOD OXYGEN SENSOR (BLOOD OXYGEN APP),1,0.05
NOISE MONITORING,1,0.05
COMPASS,1,0.05
FALL DETECTION,1,0.05
SPEAKER,1,0.05
ALIMETER,1,0.05
DIGITAL CROWN,1,0.05
OPTICAL HEART SENSOR,1,0.05
PROCESSOR,1,0.05
ELECTRICAL HEART SENSOR (ECG APP),1,0.05
